reviewerID,reviewerName,reviewText,overall,summary,reviewTime,reviewWords
A27DR1VO079F1V,Dan Edman,I bought these to go from my board to the amp. We use them for a mobile church so they take a beating. They are still going strong.,5,Still going,"02 19, 2014",28
A1LQC225SE8UNI,David Burch,"Sturdy cord and plugs, inexpensive, good value. I don't require professional-level equipment, so this cord serves my purposes well. Satisfied with purchase.",5,Does what it's supposed to do,"05 26, 2012",22
AU9BPT3Y3K6J4,G. L. Beebe,"Use it every week at gigs.  Solid, no problems with the solder joints.  A good quality cable at a very good price.",5,Good cable,"08 10, 2013",22
A14Z9LAETO21KL,Gutjammer,"Hosa products are a good bang for the buck. I haven't looked up the specifications, but I'm guessing the wire is 22 to 24 AWG, but since it's only 10' long, it's good enough.",4,Good Enough,"03 11, 2014",34
A2074KEJGRYJV4,hcross,This was exactly what I was after. I have a voice touch and needed a small cord to connect the mic to the voice touch and this was perfect. Before I used a 20 foot cord to go about 12 inches. I highly recommend this for those who keep the mic on a stand and have a voice touch or other stand connected device for vocals.,5,Great little cord,"09 16, 2013",66
A7TRK2GG6BHWD,"Johnny Pasta ""Johnny Pasta""",I bought these because I really had too long of mike cords for my solo live show. And these are really nice cords if you have a home portastudio recording studio like myself. Who needs all the spaghetti to trip on all over the place? I bought two because I use a Digitech Live 2 Harmony processor and two XLR mike cords are required to make it operational. Good price here too. Hard to find just 10' mike cords. Usually longer ones are only obtainable.,5,Does the job. What more do you need?,"01 6, 2012",85
A319B090A2POEB,Lee,This cable seems like it will last me for a while. As it is only being used to connect a DI box it will not get abused as much as the vocal mics always do.,4,Decent mic cable,"02 12, 2012",35
A396ELNTQDFYPO,Mark King,"These are not the greatest but they're cheap and they get to you fast when you need them. I've only had one fail and I've bought many of them to use in our broadcast studio.Amazon is the first place I go when I need cables for audio, video, computers or concert lighting.Good music to all!",4,Decent inexpensive cable,"09 16, 2013",55
A17CU1D2CWXOHB,Rick,"This is a fine cable at a decent price point, nothing exceptional mind, but it gets the job done well enough.",4,a fine cable.,"12 15, 2013",21
A1S0HTDO0P4N5V,"R. Wristen ""The Party Doc VJ and Karaoke""","I've used a lot of cables and I always come back to HOSA, they are indeed some of the best audio cables in their price range on the market.",5,Hosa is the best,"09 17, 2013",29
A3DWQW2L39RB1S,S. Dawdy,"I bought this cord after returning a cheap one that I should've known better than to buy. My son, who has some experience as a musician recommended the Hosa brand when I was seeking a proper replacement.I bought it for a small home recording setup which includes a Behringer C-1 Condenser Microphone and a Behringer Xenyx 302 Mixer, and both ends make a reliable connection to both the board and the mic; the sound quality is excellent.An excellent value for the money.",4,"Excellent quality, exactly what I needed","12 14, 2012",82
AQQ91U1U4YKDF,"Vince Lewis ""Vince""","Nice solid cables, with excellent support at the ends.  Should last a lifetime of usage no problem and just what I needed to connect my tube preamp.",5,great value,"06 29, 2013",27
AA5TINW2RJ195,,Good quality cable and sounds very good,5,Five Stars,"07 15, 2014",7
ABC68JUCPTVOE,"A. Fabbri ""afabbri""","Zero issues with this cable so far.  It feels fairly cheap and light weight but it has survived for months of plugging in, unplugging, and packing between practice spaces.I'll update this review if/when it breaks.",5,Pretty cheap cable that has lasted so far,"03 31, 2012",35
A3W2E6S24BTXXK,"airchamp ""ariel""",Realtively inexpensive patch cable for electric guitar.I have had it for a few months and so far it has held up pretty well,5,very nice cable,"05 28, 2014",23
A3872Y2XH0YDX1,Amazon Customer,"I bought this because I wanted a cheap replacement cable for one that had a short. I'm pleasantly surprised with this cable. It's decent sound and decent build quality, for a good price.",5,"Nice guitar cable, even better price","03 13, 2013",33
A398X9POBHK69N,Ann Vande Zande,"This is a very nice cable for the price. I already bent one end of it though, fortunately it still works fine. Inside the phono connector the wires are covered by white shrink plastic. Haven't noticed any hum or crackles. For sure a good buy.",4,Does What You Want,"01 6, 2014",45
A13A81NN0NRD1S,"aspiring saint ""TATITTLE""",Cheap and good texture rubber that does not get stiff.  Only time will tell how well the soldering is.  Sounds fine to me.,4,"flexible, soft rubber is great.","11 18, 2010",23
A1EUO0BU72JR7T,Bilbo,"Seems sturdy enough, and no noise issues, so I'm pretty much satified with it; it doesn't leave the house so I'm not asking it to handle a lot, but with reasonable care it should last a while.",5,"Works wonderfully, no noise","06 27, 2013",37
A1H4WSC8JWS59N,bradley,"I'm not a professional, but have been playing for many, many years.  This is the best cord I've ever had, though I'm sure Eric Clapton has something better.",5,excellent,"01 30, 2013",28
A3OXHLG6DIBRW8,"C. Hill ""CFH""","This Hosa Cable is very well made, with good quality connectors and a nice long length. My son is expanding his collection of amps and effects pedals so needed additional cables to get everything connected. This 25' cable gives him flexibility to move around and it is sturdy enough that it can take being stepped on and pulled around.The cable works well and is a good value for a decent quality cable.Highly Recommended!CFH",5,"Great Guitar Cable, Good Value - Highly Recommended","09 5, 2012",73
A12ABV9NU02O29,C. Longo,"I didn't expect this cable to be so thin. It's easily 1/2 the thickness of any guitar cable I've used. Not sure about long-term durability or signal loss/interference. If I had the foresight I'd spend a couple extra bucks on a thicker cable.  Still, it works and was inexpensive.EDIT: 6 months later and it's dead already.  Wire frayed at the right angle jack.  You get what you pay for.",2,Cannot recommend,"07 6, 2011",69
A2U1Z3TZ4P76JB,C. Zemer,"Bought this for my daughter along with her new guitar. It seems to work well, no issues in the first couple of weeks.",5,Cable works as described,"03 5, 2014",23
A1L7M2JXN4EZCR,David G,"It hums, crackles, and I think I'm having problems with my equipment.  As soon as I use any of my other cords then the problem is gone.  Hosa makes some other products that have good value.  But based on my experience I don't recommend this one.",1,I have bought many cables and this one is the only one that gives me problems,"02 9, 2014",46
A37A41GWQFMK3D,Dr. Freud,"I am not hard on cables.  I typically just plug them in to my guitar, dont move around much, and play for an hour or two a day.  this one seem to perform just fine.  no buzz, and/or other noises noted.  I have several of them and they have all performed well.",4,gets the job done,"06 8, 2013",52
A2JK2ITE138P7Z,Dr. Marc,"I have found Hosa cables to be an excellent value. More expensive cables may be more rugged, but for the price, I'm very happy with the Hosa's I have purchased.",5,Nice cable for the price,"05 13, 2014",30
A1DVUFG2QSJ6IK,"grandpa ""Randy""","This is good cable. Excellent 1/4&#34; plugs. The lugs and solder joints are covered with heat shrink material, which will hold everything in place for years. Grade A+ cable at a very affordable price. Definitely  going back for more. The 25 ft. cable was only a couple dollars more than 10 ft.",5,Well made audio cable,"10 8, 2013",52
A34VZEFXQJJ7AT,Guitarslim,"Pretty crappy cable. It works and gets the job done, but after purchasing this product and using it, I will shell out the extra bucks for better quality.",5,Eh,"07 25, 2013",28
A1SD1C8XK3Z3V1,"guitfiddleblue ""guitfiddleblue""",I use this cord in my church to run from my pedalboard to my amp (which is in a soundproof box). The cord is reliable and clean sounding. I like it and have used HOSA products in the past with confidence. Excellent cord. Hopefully this review will be usefull to you.,5,"great, affordable, cord","02 12, 2014",51
AKHWZ3S1UVZAO,Hagen LeBray,"This my second Hosa guitar cable.  (The other one is shorter.)  Like my first Hosa cable, this is a high quality item.  I'd definitely buy more cables of this brand.",4,Nice Cable,"04 18, 2014",30
A3LNNEYLGGCO25,Hans R,"Works for practice ... it's a guitar instrument cable, what can I say ... maybe not the best but it serves it's purpose.",3,maybe not the best but it serves it's purpose,"07 5, 2014",23
AMACM7BGUQCZD,IBZANE,"These cables have taken a beating the last few months, and have served me well with no problems..Real metal ends, not molded on, with high quality silicone jackets and strain reliefs at the connectors..",5,High quality low cost,"01 24, 2014",34
A38HMS5RYSYF8G,James I Van Asten,In my opinion it does not hurt to have extra guitar cables around. From experience they tend to just die without notice. I have a feeling this one will last a long time. It is built sturdy and sounds really good.I recommend this product.,5,works as advertised....,"01 13, 2014",44
A6D91KPQGIDKZ,"Jim R. ""Photo man""",Hosa guitar cables work great. Never had any problems with them. I own several of different lengths and they all sound perfect.,5,Good cables,"07 23, 2012",22
A2RCCN4KEXZGC8,"Joe Average ""Joe Average""",This product does exactly what it is supposed to do at a decent price.  I have absolutely no complaints.  This is my first experience with the brand and I am not disappointed.,5,No Complaints,"08 25, 2013",32
A3GAP455S8YH0M,"Joe's Gadgets ""JOE H.""","Good quality guitar cord.Very low noise, repairable, effective strain releaf,thick rubber cover!! This is a great buy, under 10 bucks for a quality cord.Of course I just got it..it might not be durable but it looks durable.If I change my mind about anything I will update my review.For now, I would say, buy one!!Joe",5,Good Quality,"07 6, 2013",54
A1N06X05VZWO5Y,Joe Toland,"This is a good solid cable with no problems. When I'm on stage, I like a longer cable but at practice I don't need all the extra length tangleing up on everything...",5,Perfect for practice!,"02 3, 2014",32
A3TA1UJWRJF9NC,jschristian44,This guitar cable is very nice.  It looks high quality and has the white ends.  Fantastic deal for this cable.,5,Nice high quality guitar cable,"12 29, 2010",20
A3VPISTBNS66C5,k2review,Good product at a good price. Have used it multiple times and works well with my guitar and speaker. Great to have when friends come over to jam.,4,Works well,"01 25, 2013",28
A1E5FQZTUM8OC1,Kenwood,This item is well built and I like the terminal ends and how they have the spring built in. These aren't going to be the most durable road cables but for home and light road use they will work well.,5,Well built cable,"07 15, 2013",40
A3MYWHYZ30WLQJ,kyle c.,This amp plug is great for the price its 10 ft long the perfect size for jammin at home and it has a quality look to it aesthetically totally worth the price,5,pperfect amp chord.for home use,"08 29, 2013",32
A1FHOW9NVOH8XR,Lee,"Hosa Cable GTR210 Guitar Instrument Cable - 10ft. is a High quality Instrument Cable, but low cost, won't break the bank. I'm very satisfied with my purchase.",5,Hosa Cable GTR210 Guitar Instrument Cable - 10ft.,"02 4, 2013",27
A319B090A2POEB,Lee,...unbalanced guitar cable is notoriously noisy especially around florescent lights. These are no different. I would prefer to use cables with better shielding but cannot justify the expense considering how rarely these things get used.,3,Standard guitar cable,"02 12, 2012",35
A2VH0UT5EQFB6P,Loveguitar,"This is your basic, black electric guitar cable but it works great.  So far the connections at both ends are solid and the sound from the amp is great!  Nice and rubbery and 10 feet is long enough.  If problems arise later with this cable, I will update this review, but as of now there has been no problems whatsoever with this cable.",5,Hosa Electric Guitar Cable GTR210,"01 16, 2014",63
A396ELNTQDFYPO,Mark King,"Hosa cable quality can be all over the place, some of their products are good (sound good, reliable, long lasting) and some of their products are not good (affect sound negatively, break prematurely, short useful life span).These guitar cords are actually quite nice, they feel good (gooey soft rubber jacket like Mogami), they sound good and so far they are working reliably, the rubber jacket is about .25&#34; in diameter (by eye) and there is a short heat shrink overwrap to add strength where the wire enters the plug.I bought these when I needed cables fast for an internet concert, we had lots of pedals and signal splits to connect up. These cables arrived in good working condition and we've been using them continuously since.We have over a dozen tube amps and are very particular about sound degradation but so far these cables have not disappointed anyone.I would buy more if I needed them.",4,So Far So Good,"01 21, 2013",154
A2WYAHJGST6AOT,Matt,"It's a cable, no frills, tangles pretty easy and due to it's design it might rattle a little when you move around but it works like it should",3,average cable,"02 26, 2014",28
A781ITP3HE2N5,"Michael Livote ""dragon2knight""","I never really considered a cheaper cable, I was always taught to get the best I could afford. When this showed up in a cable search on amazon, I jumped on it. I figured I had nothing to lose.To my surprise, this is an excellent cable, with good build quality and a strong, thick jacket that inspires confidence. The sound through it is identical to my Monster cables, and it cost one quarter the price....hmmmm, guess I should have tried to figure this out myself instead of listening to &#34;snobs&#34; for so many years. I will never do that again.This is worth the money twice over, try it out for yourself and kiss overpriced cables goodbye!",5,"Good quality, low price","10 4, 2013",116
AN73VQ17FZVJ8,MJK,"One end was loose, so I tightened it, it keeps coming loose so I had to put a dab of crazy glue on the threads, hope I don't ever have to open the end for repair.",3,Good for the Price,"06 14, 2013",36
ALUTHT4U058KZ,M. M. Jackson,"For the price, fantastic.They do feel light and I don't trust the build quality at the key stress points (where cable meets connector), but then again I am not going to push it.Set your guitar down on it by accident when it's plugged in and...who knows.But for seven bucks it gets the job done. Recommended if you are doing the ""beginner"" thing and testing the waters.Otherwise, spend a few more bucks for something with higher chances of lasting.",4,"Feel a little flimsy and can see easily breaking, but the work","04 17, 2012",78
A1A15ECLHM9BQY,Nick,"Hosa makes good stuff, this is no exception. I've trusted them for years, I can't think if a single Hosa cable I've owned that's failed.",5,Excellent,"07 10, 2014",25
A1S8R9OAIQT7YI,patriotsarebest,Only complaint is the size which is my fault. If you can buy at least a 15 foot if you plan to use it on stage.,4,Only complaint is the size which is my fault. ...,"06 28, 2014",26
A3RHT4KI3H5TVH,pops,"Hard to day too much, but it works great. No issues to speak of. It does the job perfectly well",5,worth it,"09 23, 2013",20
AVY8D3ULJTX0H,P. Panehal,"For the price, this works really well. I see no faults. It can unscrew pretty easily, but this is hardly a problem right now.",5,Works,"01 8, 2013",24
A15BHBF0L0HV1F,"Quaestor ""Raoul Duke""","This cable disproves the notion that you get what you pay for. It's quality outweighs its price. Let's face it, a cable is a cable is a cable. But the quality of these cables can vary greatly. I replaced a lighter cable with this one and I was surprised at the difference in the quality of the sound from my amp. I have an Ibanez ART series guitar into an Ibanez 15 watt amp set up in my home. With nothing changed but the cable, there was a significant difference in quality and volume. So much so that I checked with my guitar teacher who said he was not surprised. The quality appears good. The ends are heavy duty and the little bit of hum I had due to the proximity of everything was attenuated to the point where it was inconsequential. I've seen more expensive cables and this one is (so far) great.Hosa GTR210 Guitar Cable 10 Ft",5,"Good quality, great price","11 2, 2011",159
A1AFN4T80DZ3RR,Quique,I was looking for a long cable to perform live with my band and i'm glad with HOSA quality. It feels reliable and without adding noise.,5,Very good quality for an excellent price,"11 8, 2013",26
A3DCG2MNPR4BW,RAYON ORMOND,"These are Good cables at a good price!! Not sure they would hold up to heavy use, but for practicing at home they are really great!",5,Good cables at a good price!!,"05 22, 2013",26
A3NGAQKJ6X088B,"R. Beckmeyer ""Positively Positive""","very sturdy, high quality with little to no feedback, i use it for performing for my friends and they all love it",5,"works well, great quality","06 16, 2014",22
A35XRT4BW4I6UD,Richard R. Casper,"Unless you're going to go for the very top of the line most expensive professional chords, these will do for any medium sized venue.",5,Great Value,"09 7, 2012",24
AKYDGCKCY7H9F,"R. W. Milyard ""GearJunky""","I have many lengths of these Hosa cables and have neverhad a problem with them.I am not an active musician, so have not put any of them throughthe riggers of what happens on stage; so I cannot comment on thistype of usage.In my over 40 years (10 of them on stage) I have come to realize, thatyou should ALWAYS have extra cables (just like strings) with you, aseven the most expensive cables will sometimes let you down.",5,Good cables,"10 10, 2013",77
A19NGYCQ1NCF3W,S. Haney,"I've been using these for about 3 weeks now - they are strong but flexible and don't seem to develop kinks or bending ""habits"" if you roll them up the proper way.I've seen and used some better cables but not at this price point.  And I've certainly seen quite a few worse!  This is a pretty good sweet spot, in my opinion.",4,Very Solid Cables,"01 21, 2011",62
A3UD50M7M72150,synthezatory,"I'm a pro-cheapo and I hated this thing. They're noisy, and the cables feel really cheap, gummy-like. Drop few more bucks and get something else!",1,Crap,"03 14, 2014",25
A2B78RXJ2PB6ZD,Tom,Works great on my 100 watt Amp. Almost compares to a monster cable. And with Its length Its plenty of Room from your Guitar to amp. GOOD PRODUCT!,5,Works Good. No complaints!!!,"02 4, 2012",28
A18RGYRCEN181M,Truvor,"Good cable, as good as any expensive brand. Thick, a bit stiff and seems to be shielded. No complaints at all.",5,Good guitar cable,"12 10, 2013",21
A18LZ6VHS4DK69,Wesley Newell,"I own lots of hosa cables they are cheap and quality is there. I've only recieved one bad cable out of around 50 or so. I use a lot of these guys and if they work when you get them, they havn't failed yet.",5,hosa rocks,"02 15, 2013",44
AQG6AQXC703WD,Bob,"It is a decent cable. It does its job, but it leaves much to be desired as far as structural integrity is concerned. The mating part of the connector jiggles back and forth. The switch is also loose. The connector will move around 2mm out of the microphone without the switch being pressed.'I would not recommend using this cable for critical applications. It would be more suited to home or hobby use.",3,Does Its Job,"03 26, 2014",72
A2YGWCX3DQ6ER0,Christian Morales,the cable is great for connecting directly to the computer microphone to record live without a console or mixer...... its great  i recomended,5,good for direct connect to computer,"06 30, 2013",23
A21VM9WVF8EOSJ,"J. Warren ""NiALTA""",Bought this to hook up a Beta 58 to a Panasonic G2 DSLR and a Kodak Zi8 for interviews. Works the way it's supposed to. 90 degree TRS is a nice touch. Good price.,5,Does what it was intended for,"12 6, 2011",34
A3M48SSAOTBSMW,"L. Rapoport ""lenrapp""","Just received this cord and it seems to work as expected. What can you say about an adapter cord?  It is well made, good construction and sound from my DSLR with my mic is superb.",5,Works as expected,"04 25, 2012",35
AFLRU6952DEFX,S.,"If you're like me, you probably bought this to hook up an XLR microphone to a digital recorder or a PC.It works fine for the handy type recorders.But forget hooking this directly to a PC.  Way too much noise.",4,Good for some uses,"04 7, 2014",39
A1W3CEEQBJ4GTN,S. Marchuk,"I bought this for my Canon Vixia HF G10 Video Camera and a Shotgun Mic that I recently purchased for it. I needed a 12&#34; wire for it to be a perfect fit from my mic (which is mounted on the Mini Advanced Shoe) to the microphone plug on the Video Camera...The wire on this thing is *not* 1 foot long. the actual wire is under 8&#34; long itself. I would have returned this thing but it was cheap enough that it wasn't worth the hassle... I'd have rated it 1 star, but I tried it on my Nikon D3200 (Shoe mounted Shotgun Mike) and it worked out ok. Still a tight fit though (since there's only 8&#34; of wire)...I'd recommend anyone looking for a short cable go with a 2' adapter; worst case scenario, you can zip-tie a loop instead of getting angry that it doesn't fit.Also, not sure if it's the wire (so this didn't affect stars) but I hear a hiss when recording. Again; unsure if it's the way the wires are stretched out to the max on the DSLR or not (or my shotgun mic).",2,Measure your damned wires before sending them...,"09 16, 2013",189
AXP9CF1UTFRSU,tada,"Well made, XLR 3 pin adaptor to mini.  Needed to get a real XLR mic into the computer and this did the job.",5,Recommend,"05 26, 2013",23
A1IR3NR4KRPIJ1,Jason Lewis,"The listing for this item can be confusing if you are not sure what stereo XLR is.  Stereo XLR is meant to be similar to your stereo headphones, where left and right are separate unbalanced wires.  This cable is configured to be a stereo unbalanced XLR to a stereo unbalanced TRS cable.  This item is not a mono balanced XLR to a stereo unbalanced mic cable.A little bit a soldering can fix this connector by moving the red wire from ping #3 to pin #2 with the white wire.  Pin #3 then ties to pin #1 with the ground wire.",5,"Product shipd as expected, but the listing for this item can be confusing","06 20, 2013",100
